service_id,date,exception_type
239650,20251203,1
239648,20251203,1
239669,20251203,1
239721,20251203,1
239763,20251203,1
240203,20251203,1
240258,20251203,1
240272,20251203,1
240323,20251203,1
240428,20251203,1
240454,20251203,1
241786,20251203,1
241806,20251203,1
241817,20251203,1
241818,20251203,1
241896,20251203,1
241897,20251203,1
242904,20251203,1
237319,20251203,1
237320,20251203,1
237324,20251203,1
237356,20251203,1
237361,20251203,1
237919,20251203,1
237961,20251203,1
237966,20251203,1
238018,20251203,1
238096,20251203,1
238427,20251203,1
238479,20251203,1
238917,20251203,1
238918,20251203,1
238919,20251203,1
238987,20251203,1
238989,20251203,1
239283,20251203,1
239427,20251203,1
239574,20251203,1
239587,20251203,1
239667,20251203,1
237319,20251204,1
242904,20251204,1
237324,20251204,1
237356,20251204,1
237361,20251204,1
237919,20251204,1
237961,20251204,1
237966,20251204,1
238018,20251204,1
238096,20251204,1
238427,20251204,1
238479,20251204,1
238917,20251204,1
238918,20251204,1
238919,20251204,1
238987,20251204,1
238989,20251204,1
239283,20251204,1
239427,20251204,1
239574,20251204,1
239587,20251204,1
239648,20251204,1
239650,20251204,1
239667,20251204,1
239669,20251204,1
239721,20251204,1
239763,20251204,1
240203,20251204,1
240258,20251204,1
240272,20251204,1
240323,20251204,1
240428,20251204,1
240454,20251204,1
241786,20251204,1
241806,20251204,1
241817,20251204,1
241818,20251204,1
241896,20251204,1
241897,20251204,1
237320,20251204,1
237961,20251205,1
237919,20251205,1
238018,20251205,1
238096,20251205,1
238427,20251205,1
238479,20251205,1
238917,20251205,1
238918,20251205,1
238919,20251205,1
238987,20251205,1
238989,20251205,1
239283,20251205,1
239427,20251205,1
239574,20251205,1
239587,20251205,1
239648,20251205,1
239650,20251205,1
239667,20251205,1
239669,20251205,1
239721,20251205,1
239763,20251205,1
240203,20251205,1
240258,20251205,1
240272,20251205,1
240323,20251205,1
240428,20251205,1
240454,20251205,1
241786,20251205,1
241806,20251205,1
241817,20251205,1
241818,20251205,1
241896,20251205,1
241897,20251205,1
242904,20251205,1
237319,20251205,1
237320,20251205,1
237324,20251205,1
237356,20251205,1
237361,20251205,1
237966,20251205,1
237320,20251206,1
242908,20251206,1
237361,20251206,1
237936,20251206,1
237943,20251206,1
237948,20251206,1
237949,20251206,1
238096,20251206,1
238400,20251206,1
238458,20251206,1
238486,20251206,1
240260,20251206,1
240323,20251206,1
240451,20251206,1
240454,20251206,1
240499,20251206,1
240957,20251206,1
242560,20251206,1
242562,20251206,1
242587,20251206,1
242588,20251206,1
242589,20251206,1
242655,20251206,1
242657,20251206,1
237321,20251206,1
237948,20251207,1
237943,20251207,1
238400,20251207,1
238458,20251207,1
238486,20251207,1
238668,20251207,1
240260,20251207,1
240451,20251207,1
240452,20251207,1
240454,20251207,1
240499,20251207,1
240957,20251207,1
241902,20251207,1
242019,20251207,1
242560,20251207,1
242562,20251207,1
242587,20251207,1
242588,20251207,1
242589,20251207,1
242651,20251207,1
242655,20251207,1
242657,20251207,1
242659,20251207,1
242914,20251207,1
242915,20251207,1
237321,20251207,1
237328,20251207,1
237936,20251207,1
237937,20251207,1
237949,20251207,1
241902,20251208,1
241897,20251208,1
242651,20251208,1
242659,20251208,1
242904,20251208,1
237319,20251208,1
237324,20251208,1
237328,20251208,1
237356,20251208,1
237919,20251208,1
237937,20251208,1
237961,20251208,1
237966,20251208,1
238018,20251208,1
238427,20251208,1
238479,20251208,1
238668,20251208,1
238917,20251208,1
238918,20251208,1
238919,20251208,1
238987,20251208,1
238989,20251208,1
239283,20251208,1
239427,20251208,1
239574,20251208,1
239587,20251208,1
239648,20251208,1
239650,20251208,1
239667,20251208,1
239669,20251208,1
239721,20251208,1
239763,20251208,1
240203,20251208,1
240258,20251208,1
240272,20251208,1
240428,20251208,1
240452,20251208,1
240454,20251208,1
241786,20251208,1
241806,20251208,1
241817,20251208,1
241818,20251208,1
241896,20251208,1
242562,20251208,1
237319,20251209,1
242904,20251209,1
237324,20251209,1
237356,20251209,1
237361,20251209,1
237919,20251209,1
237961,20251209,1
237966,20251209,1
238018,20251209,1
238096,20251209,1
238427,20251209,1
238479,20251209,1
238917,20251209,1
238918,20251209,1
238919,20251209,1
238987,20251209,1
238989,20251209,1
239283,20251209,1
239427,20251209,1
239574,20251209,1
239587,20251209,1
239648,20251209,1
239650,20251209,1
239667,20251209,1
239669,20251209,1
239721,20251209,1
239763,20251209,1
240203,20251209,1
240258,20251209,1
240272,20251209,1
240323,20251209,1
240428,20251209,1
240454,20251209,1
241786,20251209,1
241806,20251209,1
241817,20251209,1
241818,20251209,1
241896,20251209,1
241897,20251209,1
237320,20251209,1
239574,20251210,1
239427,20251210,1
239648,20251210,1
239650,20251210,1
239667,20251210,1
239669,20251210,1
239721,20251210,1
239763,20251210,1
240203,20251210,1
240258,20251210,1
240272,20251210,1
240323,20251210,1
240428,20251210,1
240454,20251210,1
241786,20251210,1
241806,20251210,1
241817,20251210,1
241818,20251210,1
241896,20251210,1
241897,20251210,1
242904,20251210,1
237319,20251210,1
237320,20251210,1
237324,20251210,1
237356,20251210,1
237361,20251210,1
237919,20251210,1
237961,20251210,1
237966,20251210,1
238018,20251210,1
238096,20251210,1
238427,20251210,1
238479,20251210,1
238917,20251210,1
238918,20251210,1
238919,20251210,1
238987,20251210,1
238989,20251210,1
239283,20251210,1
239587,20251210,1
237319,20251211,1
242904,20251211,1
237324,20251211,1
237356,20251211,1
237361,20251211,1
237919,20251211,1
237961,20251211,1
237966,20251211,1
238018,20251211,1
238096,20251211,1
238427,20251211,1
238479,20251211,1
238917,20251211,1
238918,20251211,1
238919,20251211,1
238987,20251211,1
238989,20251211,1
239283,20251211,1
239427,20251211,1
239574,20251211,1
239587,20251211,1
239648,20251211,1
239650,20251211,1
239667,20251211,1
239669,20251211,1
239721,20251211,1
239763,20251211,1
240203,20251211,1
240258,20251211,1
240272,20251211,1
240323,20251211,1
240428,20251211,1
240454,20251211,1
241786,20251211,1
241806,20251211,1
241817,20251211,1
241818,20251211,1
241896,20251211,1
241897,20251211,1
237320,20251211,1
237356,20251212,1
237324,20251212,1
237919,20251212,1
237961,20251212,1
237966,20251212,1
238018,20251212,1
238096,20251212,1
238427,20251212,1
238479,20251212,1
238917,20251212,1
238918,20251212,1
238919,20251212,1
238987,20251212,1
238989,20251212,1
239283,20251212,1
239427,20251212,1
239574,20251212,1
239587,20251212,1
239648,20251212,1
239650,20251212,1
239667,20251212,1
239669,20251212,1
239721,20251212,1
239763,20251212,1
240203,20251212,1
240258,20251212,1
240272,20251212,1
240323,20251212,1
240428,20251212,1
240454,20251212,1
241786,20251212,1
241806,20251212,1
241817,20251212,1
241818,20251212,1
241896,20251212,1
241897,20251212,1
242904,20251212,1
237319,20251212,1
237320,20251212,1
237361,20251212,1
237320,20251213,1
242908,20251213,1
237361,20251213,1
237936,20251213,1
237943,20251213,1
237948,20251213,1
237949,20251213,1
238096,20251213,1
238400,20251213,1
238458,20251213,1
238486,20251213,1
240260,20251213,1
240323,20251213,1
240451,20251213,1
240454,20251213,1
240499,20251213,1
240957,20251213,1
242560,20251213,1
242562,20251213,1
242587,20251213,1
242588,20251213,1
242589,20251213,1
242655,20251213,1
242657,20251213,1
237321,20251213,1
237936,20251214,1
237328,20251214,1
237943,20251214,1
237948,20251214,1
237949,20251214,1
238400,20251214,1
238458,20251214,1
238486,20251214,1
238668,20251214,1
240260,20251214,1
240451,20251214,1
240452,20251214,1
240454,20251214,1
240499,20251214,1
240957,20251214,1
241902,20251214,1
242019,20251214,1
242560,20251214,1
242562,20251214,1
242587,20251214,1
242588,20251214,1
242589,20251214,1
242651,20251214,1
242655,20251214,1
242657,20251214,1
242659,20251214,1
237321,20251214,1
237937,20251214,1
241897,20251215,1
241896,20251215,1
242562,20251215,1
242651,20251215,1
242659,20251215,1
242906,20251215,1
237319,20251215,1
237324,20251215,1
237328,20251215,1
237356,20251215,1
237919,20251215,1
237937,20251215,1
237961,20251215,1
237966,20251215,1
238018,20251215,1
238427,20251215,1
238479,20251215,1
238668,20251215,1
238917,20251215,1
238918,20251215,1
238919,20251215,1
238987,20251215,1
238989,20251215,1
239283,20251215,1
239427,20251215,1
239574,20251215,1
239587,20251215,1
239648,20251215,1
239650,20251215,1
239667,20251215,1
239669,20251215,1
239721,20251215,1
239763,20251215,1
240203,20251215,1
240258,20251215,1
240272,20251215,1
240428,20251215,1
240452,20251215,1
240454,20251215,1
241786,20251215,1
241806,20251215,1
241817,20251215,1
241818,20251215,1
241902,20251215,1
237319,20251216,1
242906,20251216,1
237324,20251216,1
237356,20251216,1
237361,20251216,1
237919,20251216,1
237961,20251216,1
237966,20251216,1
238018,20251216,1
238096,20251216,1
238427,20251216,1
238479,20251216,1
238917,20251216,1
238918,20251216,1
238919,20251216,1
238987,20251216,1
238989,20251216,1
239283,20251216,1
239427,20251216,1
239574,20251216,1
239587,20251216,1
239648,20251216,1
239650,20251216,1
239667,20251216,1
239669,20251216,1
239721,20251216,1
239763,20251216,1
240203,20251216,1
240258,20251216,1
240272,20251216,1
240323,20251216,1
240428,20251216,1
240454,20251216,1
241786,20251216,1
241806,20251216,1
241817,20251216,1
241818,20251216,1
241896,20251216,1
241897,20251216,1
237320,20251216,1
239427,20251217,1
239574,20251217,1
239587,20251217,1
239648,20251217,1
239650,20251217,1
239667,20251217,1
239669,20251217,1
239721,20251217,1
239763,20251217,1
240203,20251217,1
240258,20251217,1
240272,20251217,1
240323,20251217,1
240428,20251217,1
240454,20251217,1
241786,20251217,1
241806,20251217,1
241817,20251217,1
241818,20251217,1
241896,20251217,1
241897,20251217,1
242906,20251217,1
237319,20251217,1
237320,20251217,1
237324,20251217,1
237356,20251217,1
237361,20251217,1
237919,20251217,1
237961,20251217,1
237966,20251217,1
238018,20251217,1
238096,20251217,1
238427,20251217,1
238479,20251217,1
238917,20251217,1
238918,20251217,1
238919,20251217,1
238987,20251217,1
238989,20251217,1
239283,20251217,1
237319,20251218,1
242906,20251218,1
237324,20251218,1
237356,20251218,1
237361,20251218,1
237919,20251218,1
237961,20251218,1
237966,20251218,1
238018,20251218,1
238096,20251218,1
238427,20251218,1
238479,20251218,1
238917,20251218,1
238918,20251218,1
238919,20251218,1
238987,20251218,1
238989,20251218,1
239283,20251218,1
239427,20251218,1
239574,20251218,1
239587,20251218,1
239648,20251218,1
239650,20251218,1
239667,20251218,1
239669,20251218,1
239721,20251218,1
239763,20251218,1
240203,20251218,1
240258,20251218,1
240272,20251218,1
240323,20251218,1
240428,20251218,1
240454,20251218,1
241786,20251218,1
241806,20251218,1
241817,20251218,1
241818,20251218,1
241896,20251218,1
241897,20251218,1
237320,20251218,1
237324,20251219,1
237320,20251219,1
237361,20251219,1
237919,20251219,1
237961,20251219,1
237966,20251219,1
238018,20251219,1
238096,20251219,1
238427,20251219,1
238479,20251219,1
238917,20251219,1
238918,20251219,1
238919,20251219,1
238987,20251219,1
238989,20251219,1
239283,20251219,1
239427,20251219,1
239574,20251219,1
239587,20251219,1
239648,20251219,1
239650,20251219,1
239667,20251219,1
239669,20251219,1
239721,20251219,1
239763,20251219,1
240203,20251219,1
240258,20251219,1
240272,20251219,1
240323,20251219,1
240428,20251219,1
240454,20251219,1
241786,20251219,1
241806,20251219,1
241817,20251219,1
241818,20251219,1
241896,20251219,1
241897,20251219,1
242906,20251219,1
237319,20251219,1
237356,20251219,1
237320,20251220,1
242908,20251220,1
237361,20251220,1
237936,20251220,1
237943,20251220,1
237948,20251220,1
237949,20251220,1
238096,20251220,1
238400,20251220,1
238458,20251220,1
238486,20251220,1
240260,20251220,1
240323,20251220,1
240451,20251220,1
240454,20251220,1
240499,20251220,1
240957,20251220,1
242560,20251220,1
242562,20251220,1
242587,20251220,1
242588,20251220,1
242589,20251220,1
242655,20251220,1
242657,20251220,1
237321,20251220,1
237328,20251221,1
237321,20251221,1
237937,20251221,1
237943,20251221,1
237948,20251221,1
237949,20251221,1
238400,20251221,1
238458,20251221,1
238486,20251221,1
238668,20251221,1
240260,20251221,1
240451,20251221,1
240452,20251221,1
240454,20251221,1
240499,20251221,1
240957,20251221,1
241902,20251221,1
242560,20251221,1
242562,20251221,1
242587,20251221,1
242588,20251221,1
242589,20251221,1
242651,20251221,1
242655,20251221,1
242657,20251221,1
242659,20251221,1
242908,20251221,1
237936,20251221,1
241896,20251222,1
241818,20251222,1
241902,20251222,1
242562,20251222,1
242651,20251222,1
242659,20251222,1
242906,20251222,1
237319,20251222,1
237324,20251222,1
237328,20251222,1
237356,20251222,1
237919,20251222,1
237937,20251222,1
237961,20251222,1
237966,20251222,1
238018,20251222,1
238427,20251222,1
238479,20251222,1
238668,20251222,1
238917,20251222,1
238918,20251222,1
238919,20251222,1
238987,20251222,1
238989,20251222,1
239283,20251222,1
239427,20251222,1
239574,20251222,1
239587,20251222,1
239648,20251222,1
239650,20251222,1
239667,20251222,1
239669,20251222,1
239721,20251222,1
239763,20251222,1
240203,20251222,1
240258,20251222,1
240272,20251222,1
240428,20251222,1
240452,20251222,1
240454,20251222,1
241786,20251222,1
241806,20251222,1
241817,20251222,1
241897,20251222,1
237319,20251223,1
242906,20251223,1
237324,20251223,1
237356,20251223,1
237361,20251223,1
237919,20251223,1
237961,20251223,1
237966,20251223,1
238018,20251223,1
238096,20251223,1
238427,20251223,1
238479,20251223,1
238917,20251223,1
238918,20251223,1
238919,20251223,1
238987,20251223,1
238989,20251223,1
